2017-03-17 11:05:53,663 [Worker-80] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-03-17 11:05:53,688 [Worker-80] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-03-17 11:05:53,701 [Worker-80] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-03-17 11:05:53,723 [Worker-80] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-03-17 11:06:36,215 [Worker-80] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-03-17 11:06:36,223 [Worker-80] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-03-17 11:06:36,225 [Worker-80] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-03-17 11:06:36,238 [Worker-80] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-03-17 11:08:37,671 [Worker-84] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-03-17 11:08:37,685 [Worker-84] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-03-17 11:08:37,693 [Worker-84] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-03-17 11:08:37,706 [Worker-84] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-03-17 11:11:31,455 [Worker-87] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-03-17 11:11:31,469 [Worker-87] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-03-17 11:11:31,474 [Worker-87] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-03-17 11:11:31,498 [Worker-87] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-03-17 11:12:23,402 [Worker-81] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-03-17 11:12:23,412 [Worker-81] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-03-17 11:12:23,417 [Worker-81] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-03-17 11:12:23,428 [Worker-81] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-03-17 11:13:20,253 [Worker-83] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-03-17 11:13:20,263 [Worker-83] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2017-03-17 11:13:20,268 [Worker-83] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-03-17 11:13:20,285 [Worker-83] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-03-17 11:13:52,791 [Worker-88] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-03-17 11:13:52,799 [Worker-88] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2017-03-17 11:13:52,805 [Worker-88] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-03-17 11:13:52,811 [Worker-88] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-03-17 11:17:49,809 [Worker-84] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-03-17 11:17:49,823 [Worker-84] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2017-03-17 11:17:49,829 [Worker-84] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-03-17 11:17:49,851 [Worker-84] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-03-17 11:19:24,358 [Worker-87] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-03-17 11:19:24,382 [Worker-87] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
